event_date,event_name,fighter_red,fighter_blue,round,time,weight_class,win_method,winner,stance_red,stance_blue,knockdowns_red,knockdowns_blue,sig_attempts_red,sig_attempts_blue,sig_strikes_red,sig_strikes_blue,total_strikes_attempts_red,total_strikes_attempts_blue,total_strikes_red,total_strikes_blue,sub_attempts_red,sub_attempts_blue,takedowns_red,takedowns_blue,takedown_attempts_red,takedown_attempts_blue,control_time_red,control_time_blue,head_strikes_red,head_strikes_blue,head_attempts_red,head_attempts_blue,body_strikes_red,body_strikes_blue,body_attempts_red,body_attempts_blue,leg_strikes_red,leg_strikes_blue,leg_attempts_red,leg_attempts_blue,distance_red,distance_blue,distance_attempts_red,distance_attempts_blue,clinch_strikes_red,clinch_strikes_blue,clinch_attempts_red,clinch_attempts_blue,ground_strikes_red,ground_strikes_blue,ground_attempts_red,ground_attempts_blue
2025-09-13,UFC Fight Night: Lopes vs. Silva,Montse Rendon,Alice Pereira,3,300,Women's Bantamweight,Decision - Split,Montse Rendon,Orthodox,Orthodox,0.0,0.0,166.0,117.0,45.0,37.0,185.0,123.0,60.0,43.0,1.0,0.0,0.0,0.0,5.0,3.0,105,19,31.0,29.0,136.0,103.0,6.0,7.0,14.0,12.0,8.0,1.0,16.0,2.0,43.0,35.0,163.0,115.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Zachary Reese,Sedriques Dumas,1,51,Middleweight,Could Not Continue,,Switch,Orthodox,0.0,0.0,7.0,10.0,2.0,3.0,7.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,3.0,8.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Alessandro Costa,Alden Coria,3,47,Flyweight,KO/TKO,Alden Coria,Orthodox,Orthodox,0.0,0.0,56.0,95.0,12.0,42.0,59.0,131.0,14.0,77.0,2.0,0.0,1.0,2.0,4.0,2.0,84,198,7.0,34.0,37.0,85.0,1.0,1.0,6.0,3.0,4.0,7.0,13.0,7.0,12.0,29.0,56.0,79.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,16.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Rodrigo Sezinando,Daniil Donchenko,1,267,Ultimate Fighter 33 Welterweight Tournament Title,KO/TKO,Daniil Donchenko,Orthodox,Orthodox,0.0,1.0,36.0,68.0,10.0,39.0,36.0,71.0,10.0,42.0,0.0,0.0,1.0,1.0,4.0,3.0,62,63,7.0,29.0,30.0,55.0,3.0,8.0,6.0,11.0,0.0,2.0,0.0,2.0,7.0,23.0,33.0,44.0,3.0,6.0,3.0,9.0,0.0,10.0,0.0,15.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Jesus Aguilar,Luis Gurule,3,300,Flyweight,Decision - Unanimous,Jesus Aguilar,Orthodox,Orthodox,0.0,0.0,235.0,186.0,85.0,65.0,237.0,195.0,87.0,73.0,0.0,0.0,1.0,0.0,5.0,5.0,38,21,35.0,43.0,164.0,157.0,25.0,12.0,43.0,18.0,25.0,10.0,28.0,11.0,76.0,59.0,224.0,174.0,9.0,2.0,11.0,5.0,0.0,4.0,0.0,7.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Santiago Luna,Quang Le,1,168,Bantamweight,KO/TKO,Santiago Luna,Orthodox,Orthodox,2.0,0.0,40.0,24.0,15.0,12.0,42.0,25.0,17.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,47,7,13.0,9.0,38.0,19.0,1.0,3.0,1.0,4.0,1.0,0.0,1.0,1.0,9.0,10.0,33.0,22.0,3.0,2.0,3.0,2.0,3.0,0.0,4.0,0.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Jose Daniel Medina,Dusko Todorovic,1,261,Middleweight,Submission,Dusko Todorovic,Orthodox,Orthodox,0.0,0.0,25.0,24.0,9.0,16.0,29.0,36.0,13.0,27.0,0.0,1.0,0.0,2.0,0.0,2.0,0,136,5.0,10.0,17.0,18.0,3.0,6.0,7.0,6.0,1.0,0.0,1.0,0.0,9.0,10.0,24.0,18.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Tatiana Suarez,Amanda Lemos,3,300,Women's Strawweight,Decision - Unanimous,Tatiana Suarez,Southpaw,Southpaw,0.0,0.0,39.0,33.0,20.0,23.0,91.0,49.0,70.0,39.0,0.0,1.0,3.0,0.0,12.0,0.0,574,34,1.0,12.0,11.0,21.0,10.0,4.0,17.0,5.0,9.0,7.0,11.0,7.0,9.0,14.0,24.0,22.0,11.0,4.0,15.0,4.0,0.0,5.0,0.0,7.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Claudio Puelles,Joaquim Silva,3,300,Lightweight,Decision - Split,Joaquim Silva,Southpaw,Southpaw,0.0,1.0,63.0,66.0,21.0,25.0,102.0,136.0,58.0,95.0,0.0,1.0,4.0,0.0,16.0,0.0,445,63,14.0,12.0,56.0,50.0,7.0,9.0,7.0,12.0,0.0,4.0,0.0,4.0,16.0,19.0,56.0,52.0,2.0,3.0,2.0,5.0,3.0,3.0,5.0,9.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Kelvin Gastelum,Dustin Stoltzfus,3,300,Middleweight,Decision - Unanimous,Kelvin Gastelum,Southpaw,Orthodox,1.0,0.0,117.0,146.0,57.0,64.0,118.0,151.0,58.0,69.0,0.0,0.0,0.0,1.0,0.0,6.0,23,120,30.0,25.0,81.0,93.0,16.0,25.0,24.0,34.0,11.0,14.0,12.0,19.0,56.0,55.0,116.0,134.0,1.0,4.0,1.0,5.0,0.0,5.0,0.0,7.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Diego Lopes,Jean Silva,2,288,Featherweight,KO/TKO,Diego Lopes,Orthodox,Orthodox,1.0,0.0,135.0,91.0,74.0,43.0,154.0,91.0,86.0,43.0,0.0,0.0,3.0,0.0,4.0,0.0,160,3,63.0,26.0,118.0,67.0,1.0,10.0,1.0,17.0,10.0,7.0,16.0,7.0,31.0,42.0,65.0,90.0,1.0,1.0,2.0,1.0,42.0,0.0,68.0,0.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Rafa Garcia,Jared Gordon,3,147,Lightweight,KO/TKO,Rafa Garcia,Orthodox,Orthodox,1.0,0.0,162.0,186.0,91.0,65.0,179.0,201.0,107.0,80.0,2.0,0.0,2.0,1.0,3.0,3.0,121,9,74.0,55.0,144.0,171.0,7.0,8.0,7.0,13.0,10.0,2.0,11.0,2.0,70.0,65.0,137.0,186.0,10.0,0.0,11.0,0.0,11.0,0.0,14.0,0.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Rob Font,David Martinez,3,300,Bantamweight,Decision - Unanimous,David Martinez,Orthodox,Orthodox,0.0,0.0,158.0,155.0,49.0,62.0,158.0,210.0,49.0,115.0,0.0,0.0,0.0,0.0,5.0,2.0,59,33,40.0,33.0,138.0,115.0,7.0,10.0,17.0,16.0,2.0,19.0,3.0,24.0,49.0,62.0,158.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-13,UFC Fight Night: Lopes vs. Silva,Alexander Hernandez,Diego Ferreira,2,226,Lightweight,KO/TKO,Alexander Hernandez,Orthodox,Orthodox,1.0,0.0,75.0,98.0,30.0,23.0,75.0,98.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,22.0,8.0,63.0,56.0,4.0,11.0,6.0,35.0,4.0,4.0,6.0,7.0,20.0,23.0,61.0,96.0,0.0,0.0,0.0,2.0,10.0,0.0,14.0,0.0
